period,price
23:00 - 00:00,74.93
00:00 - 01:00,74.74
01:00 - 02:00,73.02
02:00 - 03:00,71.21
03:00 - 04:00,72.13
04:00 - 05:00,71.8
05:00 - 06:00,76.22
06:00 - 07:00,85.93
07:00 - 08:00,90.0
08:00 - 09:00,104.93
09:00 - 10:00,109.0
10:00 - 11:00,101.69
11:00 - 12:00,97.5
12:00 - 13:00,105.06
13:00 - 14:00,114.2
14:00 - 15:00,129.07
15:00 - 16:00,156.07
16:00 - 17:00,198.66
17:00 - 18:00,204.24
18:00 - 19:00,175.04
19:00 - 20:00,143.39
20:00 - 21:00,114.01
21:00 - 22:00,94.34
22:00 - 23:00,84.26
