period,price
23:00 - 00:00,80.01
00:00 - 01:00,71.9
01:00 - 02:00,70.07
02:00 - 03:00,68.51
03:00 - 04:00,68.23
04:00 - 05:00,68.46
05:00 - 06:00,70.39
06:00 - 07:00,80.99
07:00 - 08:00,89.78
08:00 - 09:00,89.88
09:00 - 10:00,89.41
10:00 - 11:00,77.81
11:00 - 12:00,74.17
12:00 - 13:00,75.27
13:00 - 14:00,75.01
14:00 - 15:00,75.0
15:00 - 16:00,75.05
16:00 - 17:00,84.11
17:00 - 18:00,103.49
18:00 - 19:00,106.67
19:00 - 20:00,102.97
20:00 - 21:00,90.94
21:00 - 22:00,84.59
22:00 - 23:00,77.9
