period,price
23:00 - 00:00,79.98
00:00 - 01:00,80.31
01:00 - 02:00,77.38
02:00 - 03:00,77.84
03:00 - 04:00,77.73
04:00 - 05:00,75.47
05:00 - 06:00,81.46
06:00 - 07:00,105.31
07:00 - 08:00,127.75
08:00 - 09:00,107.02
09:00 - 10:00,87.69
10:00 - 11:00,71.02
11:00 - 12:00,70.07
12:00 - 13:00,69.99
13:00 - 14:00,69.93
14:00 - 15:00,71.0
15:00 - 16:00,76.96
16:00 - 17:00,91.87
17:00 - 18:00,148.3
18:00 - 19:00,175.08
19:00 - 20:00,153.7
20:00 - 21:00,106.07
21:00 - 22:00,85.96
22:00 - 23:00,76.17
