period,price
23:00 - 00:00,76.27
00:00 - 01:00,72.69
01:00 - 02:00,71.14
02:00 - 03:00,70.09
03:00 - 04:00,69.96
04:00 - 05:00,72.25
05:00 - 06:00,79.14
06:00 - 07:00,95.87
07:00 - 08:00,115.48
08:00 - 09:00,118.49
09:00 - 10:00,117.47
10:00 - 11:00,101.7
11:00 - 12:00,91.53
12:00 - 13:00,89.05
13:00 - 14:00,89.74
14:00 - 15:00,92.14
15:00 - 16:00,101.88
16:00 - 17:00,125.48
17:00 - 18:00,193.99
18:00 - 19:00,222.0
19:00 - 20:00,152.96
20:00 - 21:00,112.15
21:00 - 22:00,94.74
22:00 - 23:00,85.17
