period,price
23:00 - 00:00,22.51
00:00 - 01:00,19.85
01:00 - 02:00,17.07
02:00 - 03:00,17.06
03:00 - 04:00,19.15
04:00 - 05:00,25.77
05:00 - 06:00,54.75
06:00 - 07:00,94.18
07:00 - 08:00,96.7
08:00 - 09:00,93.03
09:00 - 10:00,81.93
10:00 - 11:00,74.52
11:00 - 12:00,63.51
12:00 - 13:00,63.7
13:00 - 14:00,65.18
14:00 - 15:00,69.73
15:00 - 16:00,79.09
16:00 - 17:00,82.41
17:00 - 18:00,97.45
18:00 - 19:00,118.74
19:00 - 20:00,115.28
20:00 - 21:00,89.94
21:00 - 22:00,81.01
22:00 - 23:00,80.6
