period,price
23:00 - 00:00,48.96
00:00 - 01:00,52.54
01:00 - 02:00,58.2
02:00 - 03:00,59.69
03:00 - 04:00,60.01
04:00 - 05:00,64.61
05:00 - 06:00,69.1
06:00 - 07:00,72.69
07:00 - 08:00,80.45
08:00 - 09:00,81.99
09:00 - 10:00,80.23
10:00 - 11:00,78.75
11:00 - 12:00,76.49
12:00 - 13:00,79.7
13:00 - 14:00,81.12
14:00 - 15:00,85.77
15:00 - 16:00,89.74
16:00 - 17:00,94.61
17:00 - 18:00,95.58
18:00 - 19:00,87.57
19:00 - 20:00,83.83
20:00 - 21:00,77.01
21:00 - 22:00,74.48
22:00 - 23:00,71.0
