period,price
23:00 - 00:00,74.08
00:00 - 01:00,74.65
01:00 - 02:00,72.96
02:00 - 03:00,73.83
03:00 - 04:00,73.0
04:00 - 05:00,73.75
05:00 - 06:00,73.99
06:00 - 07:00,72.74
07:00 - 08:00,78.76
08:00 - 09:00,77.81
09:00 - 10:00,79.2
10:00 - 11:00,83.07
11:00 - 12:00,80.9
12:00 - 13:00,81.6
13:00 - 14:00,81.89
14:00 - 15:00,83.35
15:00 - 16:00,84.54
16:00 - 17:00,85.7
17:00 - 18:00,122.0
18:00 - 19:00,137.37
19:00 - 20:00,124.17
20:00 - 21:00,109.9
21:00 - 22:00,95.6
22:00 - 23:00,85.95
